,citing_int_id,cited_int_id,intent_labels,section_name,citance,context,citing_ss_id,citing_title,citing_year,citing_authors,cited_ss_id,cited_title,cited_year,cited_authors
245,J00-4001,External_30353,[0],,Discriminant analysis has been employed by researchers in automatic text genre detection <TARGET_CITATION/> since it offers a simple and robust solution despite the fact that it presupposes normal distributions of the discriminating variables .,"The Mahalanobis distance d of a vector x from a mean vector itt, is given by the formula:where C, is the covariance matrix of x. Using this classification method we can also derive the probability that a case belongs to a particular group (i.e., posterior probabilities), which is roughly proportional to the Mahalanobis distance from that group centroid. Discriminant analysis has been employed by researchers in automatic text genre detection <TARGET_CITATION/> since it offers a simple and robust solution despite the fact that it presupposes normal distributions of the discriminating variables . Discriminant analysis has been employed by researchers in automatic text genre detection <CITATION/> since it offers a simple and robust solution despite the fact that it presupposes normal distributions of the discriminating variables.where C, is the covariance matrix of x. Using this classification method we can also derive the probability that a case belongs to a particular group (i.e., posterior probabilities), which is roughly proportional to the Mahalanobis distance from that group centroid. The Mahalanobis distance d of a vector x from a mean vector itt, is given by the formula:",bad78f839e2b566c4d62558827d03b9aa1c57e48,Automatic Text Categorization In Terms Of Genre and Author,2000,E. Stamatatos; N. Fakotakis; G. Kokkinakis,,using registerdiversified corpora for general language studies,1993,Douglas Biber
246,D13-1115,External_32478,[3],introduction,"This model has previously been shown to provide excellent performance on multiple tasks , including prediction of association norms , word substitution errors , semantic inferences , and word similarity <TARGET_CITATION/> .","The model we rely on was originally developed by<CITATION/> and is based on a generalization of Latent Dirichlet Allocation. This model has previously been shown to provide excellent performance on multiple tasks , including prediction of association norms , word substitution errors , semantic inferences , and word similarity <TARGET_CITATION/> . This model has previously been shown to provide excellent performance on multiple tasks, including prediction of association norms, word substitution errors, semantic inferences, and word similarity <CITATION/>. <CITATION/> and is based on a generalization of Latent Dirichlet Allocation. The model we rely on was originally developed by",75c3ba0c7e5b0d4a11e9d2e073ccd02ee688c0c9,"A Multimodal LDA Model integrating Textual, Cognitive and Visual Modalities",2013,Stephen Roller; Sabine Schulte im Walde,1b3616e10fc5f810243f20b84ffc72acbf773cc3,Integrating experiential and distributional data to learn semantic representations.,2009,Mark Andrews; G. Vigliocco; D. Vinson
247,J06-2002,External_522,[0],introduction,"In other words , existing treatments of gradables in GRE fail to take the  efficiency of language '' into account ( <TARGET_CITATION/> ; see our Section 2 ) .","Suppose, for example, one set a fixed quantitative boundary, making the word large true of everything above it, and false of everything below it. Then IA would tend to have little use for this property at all since, presumably, every chihuahua would be small and every alsatian large, making each of the combinations LCBlarge, chihuahuaRCB (which denotes the empty set) and LCBlarge,alsatianRCB (the set of all alsatians) useless. In other words , existing treatments of gradables in GRE fail to take the  efficiency of language '' into account ( <TARGET_CITATION/> ; see our Section 2 ) . In other words, existing treatments of gradables in GRE fail to take the efficiency of language'' into account (Barwise and Perry 1983; see our Section 2).Then IA would tend to have little use for this property at all since, presumably, every chihuahua would be small and every alsatian large, making each of the combinations LCBlarge, chihuahuaRCB (which denotes the empty set) and LCBlarge,alsatianRCB (the set of all alsatians) useless. Suppose, for example, one set a fixed quantitative boundary, making the word large true of everything above it, and false of everything below it.",0cd20231bd846ac75f25446e0a2bf02aa3d30717,Generating Referring Expressions that Involve Gradable Properties,2006,Kees van Deemter,319baebb5894d843d63a913647ec9a52801ba1b5,Situations and Attitudes.,1986,N. Cocchiarella; J. Barwise; J. Perry
249,W00-1312,External_4381,[2],,"Following <TARGET_CITATION/> , the IR system ranks documents according to the probability that a document D is relevant given the query Q , P ( D is R IQ ) ."," Following <TARGET_CITATION/> , the IR system ranks documents according to the probability that a document D is relevant given the query Q , P ( D is R IQ ) . Following <CITATION/>, the IR system ranks documents according to the probability that a document D is relevant given the query Q, P(D is R IQ).",e68a7773495e3407d8e040fff8c67d614df08265,Cross-lingual Information Retrieval Using Hidden Markov Models,2000,Jinxi Xu; R. Weischedel,,a hidden markov model information retrieval systemquot,1999,D Miller; T Leek; R Schwartz
250,J05-3003,External_4377,[0],introduction,"In modern syntactic theories ( e.g. , lexicalfunctional grammar [ LFG ] [ Kaplan and Bresnan 1982 ; <TARGET_CITATION/> ; Dalrymple 2001 ] , headdriven phrase structure grammar [ HPSG ] [ Pollard and Sag 1994 ] , treeadjoining grammar [ TAG ] [ Joshi 1988 ] , and combinatory categorial grammar [ CCG ] [ Ades and Steedman 1982 ] ) , the lexicon is the central repository for much morphological , syntactic , and semantic information ."," In modern syntactic theories ( e.g. , lexicalfunctional grammar [ LFG ] [ Kaplan and Bresnan 1982 ; <TARGET_CITATION/> ; Dalrymple 2001 ] , headdriven phrase structure grammar [ HPSG ] [ Pollard and Sag 1994 ] , treeadjoining grammar [ TAG ] [ Joshi 1988 ] , and combinatory categorial grammar [ CCG ] [ Ades and Steedman 1982 ] ) , the lexicon is the central repository for much morphological , syntactic , and semantic information . In modern syntactic theories (e.g., lexicalfunctional grammar [LFG] [Kaplan and Bresnan 1982; Bresnan 2001; Dalrymple 2001], headdriven phrase structure grammar [HPSG] [Pollard and Sag 1994], treeadjoining grammar [TAG] [Joshi 1988], and combinatory categorial grammar [CCG] [Ades and Steedman 1982]), the lexicon is the central repository for much morphological, syntactic, and semantic information.",ea681d3cc082bb8297d93f118f4355d4bd76f94c,Large-Scale Induction and Evaluation of Lexical Resources from the Penn-II and Penn-III Treebanks,2005,Ruth O'Donovan; Michael Burke; A. Cahill; Josef van Genabith; Andy Way,,lexicalfunctional syntax,2001,Joan Bresnan
252,D08-1007,J03-3005,[1],method,"Thus rather than a single training procedure , we can actually partition the examples by predicate , and train a 1For a fixed verb , MI is proportional to <TARGET_CITATION/> 's conditional probability scores for pseudodisambiguation of ( v , n , n  ) triples : Pr ( v  n ) = Pr ( v , n ) / Pr ( n ) , which was shown to be a better measure of association than cooccurrence frequency f ( v , n ) .","For example, a feature for a verbobject pair might be, the verb is eat and the object is lowercase.'' In this representation, features for one predicate will be completely independent from those for every other predicate. Thus rather than a single training procedure , we can actually partition the examples by predicate , and train a 1For a fixed verb , MI is proportional to <TARGET_CITATION/> 's conditional probability scores for pseudodisambiguation of ( v , n , n  ) triples : Pr ( v  n ) = Pr ( v , n ) / Pr ( n ) , which was shown to be a better measure of association than cooccurrence frequency f ( v , n ) . Thus rather than a single training procedure, we can actually partition the examples by predicate, and train a 1For a fixed verb, MI is proportional to <CITATION/>'s conditional probability scores for pseudodisambiguation of (v, n, n) triples: Pr(vn) = Pr(v, n)/Pr(n), which was shown to be a better measure of association than cooccurrence frequency f(v, n). In this representation, features for one predicate will be completely independent from those for every other predicate. For example, a feature for a verbobject pair might be, the verb is eat and the object is lowercase.''",94ad3c0d561f29f0c4989b5b6a2e6c7f1570ef05,Discriminative Learning of Selectional Preference from Unlabeled Text,2008,S. Bergsma; Dekang Lin; R. Goebel,5dfed29550d75cca99019aa52d40038dcb23b3cb,Using the Web to Obtain Frequencies for Unseen Bigrams,2003,Frank Keller; Mirella Lapata
254,K15-1001,P03-1021,[2],experiments,This was done by MERT optimization <TARGET_CITATION/> towards postedits under the TER target metric .,PEtest was held out for testing the algorithms' progress on unseen data. PEdev was used to obtain w* to define the utility model. This was done by MERT optimization <TARGET_CITATION/> towards postedits under the TER target metric . This was done by MERT optimization <CITATION/> towards postedits under the TER target metric. PEdev was used to obtain w* to define the utility model. PEtest was held out for testing the algorithms' progress on unseen data.,571e0df1b33cf9e232f9c96428618b530fdd6be1,A Coactive Learning View of Online Structured Prediction in Statistical Machine Translation,2015,Artem Sokolov; S. Riezler; Shay B. Cohen,1f12451245667a85d0ee225a80880fc93c71cc8b,Minimum Error Rate Training in Statistical Machine Translation,2003,F. Och
255,J05-3003,External_61276,[0],,"She evaluates 3,000 German verbs with a token frequency between 10 and 2,000 against the Duden <TARGET_CITATION/> .","However, their evaluation does not examine the extracted subcategorization frames but rather the argumentadjunct distinctions posited by their system. The largest lexical evaluation we know of is that of Schulte im <CITATION/> for German. She evaluates 3,000 German verbs with a token frequency between 10 and 2,000 against the Duden <TARGET_CITATION/> . She evaluates 3,000 German verbs with a token frequency between 10 and 2,000 against the Duden <CITATION/>. The largest lexical evaluation we know of is that of Schulte im <CITATION/> for German. However, their evaluation does not examine the extracted subcategorization frames but rather the argumentadjunct distinctions posited by their system.",ea681d3cc082bb8297d93f118f4355d4bd76f94c,Large-Scale Induction and Evaluation of Lexical Resources from the Penn-II and Penn-III Treebanks,2005,Ruth O'Donovan; Michael Burke; A. Cahill; Josef van Genabith; Andy Way,,duden—das stilworterbuch duden—the style dictionary,2001,editor Dudenredaktion
257,J05-3003,A97-1052,[4],,"<TARGET_CITATION/> report on manually analyzing an openclass vocabulary of 35,000 head words for predicate subcategorization information and comparing the results against the subcategorization details in COMLEX .","which is bound to be less certain than the assignment of frames based entirely on existing examples. As a generalization, <CITATION/> notes that lexicons such as COMLEX tend to demonstrate high precision but low recall. <TARGET_CITATION/> report on manually analyzing an openclass vocabulary of 35,000 head words for predicate subcategorization information and comparing the results against the subcategorization details in COMLEX . <CITATION/> report on manually analyzing an openclass vocabulary of 35,000 head words for predicate subcategorization information and comparing the results against the subcategorization details in COMLEX. As a generalization, <CITATION/> notes that lexicons such as COMLEX tend to demonstrate high precision but low recall. which is bound to be less certain than the assignment of frames based entirely on existing examples.",ea681d3cc082bb8297d93f118f4355d4bd76f94c,Large-Scale Induction and Evaluation of Lexical Resources from the Penn-II and Penn-III Treebanks,2005,Ruth O'Donovan; Michael Burke; A. Cahill; Josef van Genabith; Andy Way,9b77ca011896f79d9014704aaa63ecf4ffb3485c,Automatic Extraction of Subcategorization from Corpora,1997,Ted Briscoe; John A. Carroll
258,E03-1005,A00-2018,[4],conclusion,This is roughly an 11 % relative reduction in error rate over <TARGET_CITATION/> PCFGreduction reported in Table 1 .,"But while the accuracy of SLDOP decreases after n=14 and converges to Simplicity DOP, the accuracy of LSDOP continues to increase and converges to LikelihoodDOP. The highest accuracy is obtained by SLDOP at 12 n 14: an LP of 90.8% and an LR of 90.7%. This is roughly an 11 % relative reduction in error rate over <TARGET_CITATION/> PCFGreduction reported in Table 1 . This is roughly an 11% relative reduction in error rate over <CITATION/> and Bods PCFGreduction reported in Table 1. The highest accuracy is obtained by SLDOP at 12 n 14: an LP of 90.8% and an LR of 90.7%. But while the accuracy of SLDOP decreases after n=14 and converges to Simplicity DOP, the accuracy of LSDOP continues to increase and converges to LikelihoodDOP.",a9d59174cc50b119ee4be19b3e65177431e37003,An efficient implementation of a new DOP model,2003,R. Bod,76d5e3fa888bee872b7adb7fa810089aa8ab1d58,A Maximum-Entropy-Inspired Parser,2000,Eugene Charniak
259,P10-2059,External_88748,[0],introduction,"Finally , feedback expressions ( head nods and shakes ) are successfully predicted from speech , prosody and eye gaze in interaction with Embodied Communication Agents as well as human communication <TARGET_CITATION/> .","<CITATION/> obtain promising results in dialogue act tagging of the SwitchboardDAMSL corpus using lexical, syntactic and prosodic cues, while <CITATION/> examine the relation between particular acoustic and prosodic turnyielding cues and turn taking in a large corpus of taskoriented dialogues. <CITATION/> study the relation between eye gaze, facial expression, pauses and dialogue structure in annotated English maptask dialogues <CITATION/> and find correlations between the various modalities both within and across speakers. Finally , feedback expressions ( head nods and shakes ) are successfully predicted from speech , prosody and eye gaze in interaction with Embodied Communication Agents as well as human communication <TARGET_CITATION/> . Finally, feedback expressions (head nods and shakes) are successfully predicted from speech, prosody and eye gaze in interaction with Embodied Communication Agents as well as human communication <CITATION/>. <CITATION/> study the relation between eye gaze, facial expression, pauses and dialogue structure in annotated English maptask dialogues <CITATION/> and find correlations between the various modalities both within and across speakers. <CITATION/> obtain promising results in dialogue act tagging of the SwitchboardDAMSL corpus using lexical, syntactic and prosodic cues, while <CITATION/> examine the relation between particular acoustic and prosodic turnyielding cues and turn taking in a large corpus of taskoriented dialogues.",b05885c63b300c02f9fc1523875af242526b2ba9,Classification of Feedback Expressions in Multimodal Data,2010,Costanza Navarretta; Patrizia Paggio,2a24e3fc6febb51bf2d78a10aac28e4125aa82ab,Contextual recognition of head gestures,2005,Louis-Philippe Morency; C. Sidner; Christopher Lee; Trevor Darrell
261,P10-4003,External_22831,[3],experiments,"The diagnoser , based on <TARGET_CITATION/> ) , outputs a diagnosis which consists of lists of correct , contradictory and nonmentioned objects and relations from the student 's answer .","Different remediation strategies need to be used depending on whether the student made a factual error (i.e., they misread the diagram and the bulb is not in a closed path) or produced an incorrect explanation (i.e., the bulb is indeed in a closed path, but they failed to mention that a battery needs to be in the same closed path for the bulb to light). The knowledge base is used to check the factual correctness of the answers first, and then a diagnoser checks the explanation correctness. The diagnoser , based on <TARGET_CITATION/> ) , outputs a diagnosis which consists of lists of correct , contradictory and nonmentioned objects and relations from the student 's answer . The diagnoser, based on <CITATION/>, outputs a diagnosis which consists of lists of correct, contradictory and nonmentioned objects and relations from the student's answer. The knowledge base is used to check the factual correctness of the answers first, and then a diagnoser checks the explanation correctness. Different remediation strategies need to be used depending on whether the student made a factual error (i.e., they misread the diagram and the bulb is not in a closed path) or produced an incorrect explanation (i.e., the bulb is indeed in a closed path, but they failed to mention that a battery needs to be in the same closed path for the bulb to light).",1b19897e1fabfc87093de93857cdfad7c8c8abe9,Beetle II: A System for Tutoring and Computational Linguistics Experimentation,2010,M. Dzikovska; Johanna D. Moore; Natalie B. Steinhauser; Gwendolyn E. Campbell; Elaine Farrow; Charles B. Callaway,,linking semantic and knowledge representations in a multidomain dialogue system,2008,Myroslava O Dzikovska; James F Allen; Mary D Swift
262,J97-4003,External_41778,[0],introduction,The formalization of DLRs provided by <TARGET_CITATION/> defines a formal lexical rule specification language and provides a semantics for that language in two steps : A rewrite system enriches the lexical rule specification into a fully explicit description of the kind shown in Figure 1 .,"Not having to represent the frame explicitly not only enables the linguist to express only the relevant things, but also allows a more compact representation of lexical rules where explicit framing would require the rules to be split up <CITATION/>. One thus needs to distinguish the lexical rule specification provided by the linguist from the fully explicit lexical rule relations integrated into the theory. The formalization of DLRs provided by <TARGET_CITATION/> defines a formal lexical rule specification language and provides a semantics for that language in two steps : A rewrite system enriches the lexical rule specification into a fully explicit description of the kind shown in Figure 1 . The formalization of DLRs provided by <CITATION/> defines a formal lexical rule specification language and provides a semantics for that language in two steps: A rewrite system enriches the lexical rule specification into a fully explicit description of the kind shown in Figure 1. One thus needs to distinguish the lexical rule specification provided by the linguist from the fully explicit lexical rule relations integrated into the theory. Not having to represent the frame explicitly not only enables the linguist to express only the relevant things, but also allows a more compact representation of lexical rules where explicit framing would require the rules to be split up <CITATION/>.",d0dbffcb01f315774230a0450b2f4da8c6a608f7,A Computational Treatment of Lexical Rules in HPSG as Covariation in Lexical Entries,1997,Walt Detmar Meurers; Guido Minnen,,towards a semantics for lexical rules as used in hpsg,1995,Detmar Meurers
263,P06-1012,W02-1006,[2],experiments,"Similar to our previous work <CITATION/> , we used the supervised WSD approach described in <TARGET_CITATION/> for our experiments , using the naive Bayes algorithm as our classifier ."," Similar to our previous work <CITATION/> , we used the supervised WSD approach described in <TARGET_CITATION/> for our experiments , using the naive Bayes algorithm as our classifier . Similar to our previous work <CITATION/>, we used the supervised WSD approach described in <CITATION/> for our experiments, using the naive Bayes algorithm as our classifier.",796f991064b5cb119df30945f77f1f46cf9c401b,Estimating Class Priors in Domain Adaptation for Word Sense Disambiguation,2006,Yee Seng Chan; H. Ng,4c2a642effd543babace0c565b48cadcb6fce14f,An Empirical Evaluation of Knowledge Sources and Learning Algorithms for Word Sense Disambiguation,2002,Yoong Keok Lee; H. Ng
264,D14-1076,D13-1047,[4],experiments,"Similar to <TARGET_CITATION/> , our summarization system is , which consists of three key components : an initial sentence preselection module to select some important sentence candidates ; the above compression model to generate nbest compressions for each sentence ; and then an ILP summarization method to select the best summary sentences from the multiple compressed sentences ."," Similar to <TARGET_CITATION/> , our summarization system is , which consists of three key components : an initial sentence preselection module to select some important sentence candidates ; the above compression model to generate nbest compressions for each sentence ; and then an ILP summarization method to select the best summary sentences from the multiple compressed sentences . Similar to <CITATION/>, our summarization system is , which consists of three key components: an initial sentence preselection module to select some important sentence candidates; the above compression model to generate nbest compressions for each sentence; and then an ILP summarization method to select the best summary sentences from the multiple compressed sentences.",d830e732d4158807321bb8c60a6239f2b41f7ff3,Improving Multi-documents Summarization by Sentence Compression based on Expanded Constituent Parse Trees,2014,Chen Li; Yang Liu; Fei Liu; Lin Zhao; F. Weng,1b98ecc801d4435fd57c6ef87b4c24cf6b3b58ce,Document Summarization via Guided Sentence Compression,2013,Chen Li; Fei Liu; F. Weng; Yang Liu
265,J05-3003,External_13798,[0],related work,"The extraction procedure consists of three steps : First , the bracketing of the trees in the Penn Treebank is corrected and extended based on the approaches of <TARGET_CITATION/> .","The number of frame types extracted (i.e., an elementary tree without a specific lexical anchor) ranged from 2,366 to 8,996. <CITATION/> also presents a similar method for the extraction of a TAG from the Penn Treebank. The extraction procedure consists of three steps : First , the bracketing of the trees in the Penn Treebank is corrected and extended based on the approaches of <TARGET_CITATION/> . The extraction procedure consists of three steps: First, the bracketing of the trees in the Penn Treebank is corrected and extended based on the approaches of <CITATION/>. <CITATION/> also presents a similar method for the extraction of a TAG from the Penn Treebank. The number of frame types extracted (i.e., an elementary tree without a specific lexical anchor) ranged from 2,366 to 8,996.",ea681d3cc082bb8297d93f118f4355d4bd76f94c,Large-Scale Induction and Evaluation of Lexical Resources from the Penn-II and Penn-III Treebanks,2005,Ruth O'Donovan; Michael Burke; A. Cahill; Josef van Genabith; Andy Way,9e78155b28b1f4db52a7c9076c89e81ac4b7d8ce,Natural Language Parsing as Statistical Pattern Recognition,1994,David M. Magerman
266,D11-1138,J08-4003,[2],experiments,transitionbased dependency parsing framework <TARGET_CITATION/> using an arceager transition strategy and are trained using the perceptron algorithm as in <CITATION/> with a beam size of 8 .,For our experiments we focus on two dependency parsers. Transitionbased: An implementation of the transitionbased dependency parsing framework <TARGET_CITATION/> using an arceager transition strategy and are trained using the perceptron algorithm as in <CITATION/> with a beam size of 8 . transitionbased dependency parsing framework <CITATION/> using an arceager transition strategy and are trained using the perceptron algorithm as in <CITATION/> with a beam size of 8.  Transitionbased: An implementation of theFor our experiments we focus on two dependency parsers.,2db7160ade8868b4613448f55682fcee28b160d2,Training dependency parsers by jointly optimizing multiple objectives,2011,Keith B. Hall; Ryan T. McDonald; Jason Katz-Brown; Michael Ringgaard,053f1cf10ced2321c1853f307075f0a6a83b6840,Algorithms for Deterministic Incremental Dependency Parsing,2008,Joakim Nivre
269,W06-3309,External_42488,[0],introduction,<TARGET_CITATION/> have previously examined the task of categorizing sentences in medical abstracts using supervised discriminative machine learning techniques .,"(NLM), which also serves as a readily available corpus of abstracts for our experiments. Furthermore, the availability of rich ontological resources, in the form of the Unified Medical Language System (UMLS) <CITATION/>, and the availability of software that leverages this knowledge MetaMap <CITATION/> for concept identification and SemRep <CITATION/> for relation extractionprovide a foundation for studying the role of semantics in various tasks. <TARGET_CITATION/> have previously examined the task of categorizing sentences in medical abstracts using supervised discriminative machine learning techniques . <CITATION/> have previously examined the task of categorizing sentences in medical abstracts using supervised discriminative machine learning techniques. Furthermore, the availability of rich ontological resources, in the form of the Unified Medical Language System (UMLS) <CITATION/>, and the availability of software that leverages this knowledge MetaMap <CITATION/> for concept identification and SemRep <CITATION/> for relation extractionprovide a foundation for studying the role of semantics in various tasks. (NLM), which also serves as a readily available corpus of abstracts for our experiments.",33f33197434dbcb6dbe5b2f5e27d646262fcd19d,Generative Content Models for Structural Analysis of Medical Abstracts,2006,Jimmy J. Lin; Damianos G. Karakos; Dina Demner-Fushman; S. Khudanpur,72de308314b88b53aef6cb86bd8390f334a6bd24,Categorization of Sentence Types in Medical Abstracts,2003,Lawrence K. McKnight; P. Srinivasan
270,W00-1017,External_46371,[0],,"This recognizer incrementally outputs word hypotheses as soon as they are found in the bestscored path in the forward search <TARGET_CITATION/> using the ISTAR ( Incremental Structure Transmitter And Receiver ) protocol , which conveys word graph information as well as word hypotheses .","As the recognition engine, either VoiceRex, developed by NTT <CITATION/>, or HTK from Entropic Research can be used. Acoustic models for HTK is trained with the continuous speech database of the Acoustical Society of Japan <CITATION/>. This recognizer incrementally outputs word hypotheses as soon as they are found in the bestscored path in the forward search <TARGET_CITATION/> using the ISTAR ( Incremental Structure Transmitter And Receiver ) protocol , which conveys word graph information as well as word hypotheses . This recognizer incrementally outputs word hypotheses as soon as they are found in the bestscored path in the forward search <CITATION/> using the ISTAR (Incremental Structure Transmitter And Receiver) protocol, which conveys word graph information as well as word hypotheses. Acoustic models for HTK is trained with the continuous speech database of the Acoustical Society of Japan <CITATION/>. As the recognition engine, either VoiceRex, developed by NTT <CITATION/>, or HTK from Entropic Research can be used.",143c89043402241b9db0d37b79632823f2fa70ee,WIT: A Toolkit for Building Robust and Real-Time Spoken Dialogu Systems,2000,Mikio Nakano; Noboru Miyazaki; Norihito Yasuda; Akira Sugiyama; Jun-ichi Hirasawa; Kohji Dohsaka; K. Aikawa,8f260472831ee4b53ca061363c3fff918a622905,Implementation of coordinative nodding behavior on spoken dialogue systems,1998,Jun-ichi Hirasawa; Noboru Miyazaki; Mikio Nakano; T. Kawabata
271,W00-1017,External_2950,[0],introduction,The recent great advances in speech and language technologies have made it possible to build fully implemented spoken dialogue systems <TARGET_CITATION/> ., The recent great advances in speech and language technologies have made it possible to build fully implemented spoken dialogue systems <TARGET_CITATION/> . The recent great advances in speech and language technologies have made it possible to build fully implemented spoken dialogue systems <CITATION/>.,143c89043402241b9db0d37b79632823f2fa70ee,WIT: A Toolkit for Building Robust and Real-Time Spoken Dialogu Systems,2000,Mikio Nakano; Noboru Miyazaki; Norihito Yasuda; Akira Sugiyama; Jun-ichi Hirasawa; Kohji Dohsaka; K. Aikawa,596b5cc2773973515567d860dfcf25ebadd371ed,The Philips automatic train timetable information system,1995,H. Aust; M. Oerder; F. Seide; Volker Steinbiss
272,J09-4010,External_42507,[0],,"We posit that this would not have a significant effect on the results , in particular for MMLbased classification techniques , such as Decision Graphs <TARGET_CITATION/> .","The standard approach for combining precision and recall is to compute their harmonic mean, Fscore, as we have done in our16 In principle, we could have used a classification method to predict clusters from the values of the confidence measures for unseen cases. We posit that this would not have a significant effect on the results , in particular for MMLbased classification techniques , such as Decision Graphs <TARGET_CITATION/> . We posit that this would not have a significant effect on the results, in particular for MMLbased classification techniques, such as Decision Graphs <CITATION/>.16 In principle, we could have used a classification method to predict clusters from the values of the confidence measures for unseen cases. The standard approach for combining precision and recall is to compute their harmonic mean, Fscore, as we have done in our",a39cfe8ad45aebf7d6cb4f152a95d1187a9662d8,An Empirical Study of Corpus-Based Response Automation Methods for an E-mail-Based Help-Desk Domain,2009,Yuval Marom; Ingrid Zukerman,73f1d17df0e1232da9e2331878a802a941f351c6,Decision Graphs - An Extension of Decision Trees,1993,Jonathan J. Oliver
273,E03-1005,P02-1034,[0],introduction,"<TARGET_CITATION/> showed how the perceptron algorithm can be used to efficiently compute the best parse with DOP1 's subtrees , reporting a 5.1 % relative reduction in error rate over the model in <CITATION/> on the WSJ .","<CITATION/> used an alternative technique which samples a fixed number of subtrees of each depth and which has the effect of assigning roughly equal weight to each node in the training data. Although Bod's method obtains very competitive results on the Wall Street Journal (WSJ) task, the parsing time was reported to be over 200 seconds per sentence <CITATION/>. <TARGET_CITATION/> showed how the perceptron algorithm can be used to efficiently compute the best parse with DOP1 's subtrees , reporting a 5.1 % relative reduction in error rate over the model in <CITATION/> on the WSJ . <CITATION/> showed how the perceptron algorithm can be used to efficiently compute the best parse with DOP1's subtrees, reporting a 5.1% relative reduction in error rate over the model in <CITATION/> on the WSJ. Although Bod's method obtains very competitive results on the Wall Street Journal (WSJ) task, the parsing time was reported to be over 200 seconds per sentence <CITATION/>. <CITATION/> used an alternative technique which samples a fixed number of subtrees of each depth and which has the effect of assigning roughly equal weight to each node in the training data.",a9d59174cc50b119ee4be19b3e65177431e37003,An efficient implementation of a new DOP model,2003,R. Bod,fe638b5610475d4524684fb2c2b7b08c119c8700,"New Ranking Algorithms for Parsing and Tagging: Kernels over Discrete Structures, and the Voted Perceptron",2002,M. Collins; Nigel P. Duffy
274,W01-1510,External_15845,[4],introduction,Tateisi et al. also translated LTAG into HPSG <TARGET_CITATION/> .,"trees, and map them to LTAG derivation trees. All modules other than the last one are related to the conversion process from LTAG into HPSG, and the last one enables to obtain LTAG analysis from the obtained HPSG analysis. Tateisi et al. also translated LTAG into HPSG <TARGET_CITATION/> . Tateisi et al. also translated LTAG into HPSG <CITATION/>. All modules other than the last one are related to the conversion process from LTAG into HPSG, and the last one enables to obtain LTAG analysis from the obtained HPSG analysis. trees, and map them to LTAG derivation trees.",9acc772280c3edeaf9057efaa689f33f211ed78e,Resource Sharing Amongst HPSG and LTAG Communities by a Method of Grammar Conversion between FB-LTAG and HPSG,2001,Naoki Yoshinaga; Yusuke Miyao; Kentaro Torisawa; Junichi Tsujii,d999ba173cf76a8242c94ecb2776b5c9c7ecf27a,Translating the XTAG English grammar to HPSG,1998,Yuka Tateisi; Kentaro Torisawa; Yusuke Miyao; Junichi Tsujii
277,W06-1639,External_6364,[0],related work,"There has also been work focused upon determining the political leaning ( e.g. ,  liberal '' vs.  conservative '' ) of a document or author , where most previouslyproposed methods make no direct use of relationships between the documents to be classified ( the  unlabeled '' texts ) <TARGET_CITATION/> .","Politicallyoriented text Sentiment analysis has specifically been proposed as a key enabling technology in eRulemaking, allowing the automatic analysis of the opinions that people submit <CITATION/>. There has also been work focused upon determining the political leaning ( e.g. ,  liberal '' vs.  conservative '' ) of a document or author , where most previouslyproposed methods make no direct use of relationships between the documents to be classified ( the  unlabeled '' texts ) <TARGET_CITATION/> . There has also been work focused upon determining the political leaning (e.g., liberal'' vs. conservative'') of a document or author, where most previouslyproposed methods make no direct use of relationships between the documents to be classified (the unlabeled'' texts) <CITATION/>. Politicallyoriented text Sentiment analysis has specifically been proposed as a key enabling technology in eRulemaking, allowing the automatic analysis of the opinions that people submit <CITATION/>.",dc832b298290e316d1218266f6f33de97c9b5679,Get out the vote: Determining support or opposition from Congressional floor-debate transcripts,2006,Matt Thomas; B. Pang; Lillian Lee,,extracting policy positions from political texts using words as data american political science review,2003,M Laver; K Benoit; J Garry
278,J86-1002,External_13881,[4],,"A number of speech understanding systems have been developed during the past fifteen years ( Barnett et al. 1980 , Dixon and Martin 1979 , Erman et al. 1980 , Haton and Pierrel 1976 , Lea 1980 , <TARGET_CITATION/> , Medress 1980 , Reddy 1976 , Walker 1978 , and Wolf and Woods 1980 ) ."," A number of speech understanding systems have been developed during the past fifteen years ( Barnett et al. 1980 , Dixon and Martin 1979 , Erman et al. 1980 , Haton and Pierrel 1976 , Lea 1980 , <TARGET_CITATION/> , Medress 1980 , Reddy 1976 , Walker 1978 , and Wolf and Woods 1980 ) . A number of speech understanding systems have been developed during the past fifteen years (Barnett et al. 1980, Dixon and Martin 1979, Erman et al. 1980, Haton and Pierrel 1976, Lea 1980, Lowerre and Reddy 1980, Medress 1980, Reddy 1976, Walker 1978, and Wolf and Woods 1980).",cb2fb1a39449b902fca83206637edae16e0a7cf4,The Correction of Ill-Formed Input Using History-Based Expectation with Applications to Speech Understanding,1986,Pamela E. Fink; A. Biermann,,the harpy speech understanding system in lea,1980,B Lowerre; R Reddy
